// i386 register table.
// Copyright (C) 2007-2019 Free Software Foundation, Inc.
//
// This file is part of the GNU opcodes library.
//
// This library is free software; you can redistribute it and/or modify
// it under the terms of the GNU General Public License as published by
// the Free Software Foundation; either version 3, or (at your option)
// any later version.
//
// It is distributed in the hope that it will be useful, but WITHOUT
// ANY WARRANTY; without even the implied warranty of MERCHANTABILITY
// or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public
// License for more details.
//
// You should have received a copy of the GNU General Public License
// along with GAS; see the file COPYING.  If not, write to the Free
// Software Foundation, 51 Franklin Street - Fifth Floor, Boston, MA
// 02110-1301, USA.

// Make %st first as we test for it.
st, Reg|Acc|Tbyte, 0, 0, 11, 33
// 8 bit regs
al, Reg|Acc|Byte, 0, 0, Dw2Inval, Dw2Inval
cl, Reg|Byte|ShiftCount, 0, 1, Dw2Inval, Dw2Inval
dl, Reg|Byte, 0, 2, Dw2Inval, Dw2Inval
bl, Reg|Byte, 0, 3, Dw2Inval, Dw2Inval
ah, Reg|Byte, 0, 4, Dw2Inval, Dw2Inval
ch, Reg|Byte, 0, 5, Dw2Inval, Dw2Inval
dh, Reg|Byte, 0, 6, Dw2Inval, Dw2Inval
bh, Reg|Byte, 0, 7, Dw2Inval, Dw2Inval
axl, Reg|Byte, RegRex64, 0, Dw2Inval, Dw2Inval
cxl, Reg|Byte, RegRex64, 1, Dw2Inval, Dw2Inval
dxl, Reg|Byte, RegRex64, 2, Dw2Inval, Dw2Inval
bxl, Reg|Byte, RegRex64, 3, Dw2Inval, Dw2Inval
spl, Reg|Byte, RegRex64, 4, Dw2Inval, Dw2Inval
bpl, Reg|Byte, RegRex64, 5, Dw2Inval, Dw2Inval
sil, Reg|Byte, RegRex64, 6, Dw2Inval, Dw2Inval
dil, Reg|Byte, RegRex64, 7, Dw2Inval, Dw2Inval
r8b, Reg|Byte, RegRex|RegRex64, 0, Dw2Inval, Dw2Inval
r9b, Reg|Byte, RegRex|RegRex64, 1, Dw2Inval, Dw2Inval
r10b, Reg|Byte, RegRex|RegRex64, 2, Dw2Inval, Dw2Inval
r11b, Reg|Byte, RegRex|RegRex64, 3, Dw2Inval, Dw2Inval
r12b, Reg|Byte, RegRex|RegRex64, 4, Dw2Inval, Dw2Inval
r13b, Reg|Byte, RegRex|RegRex64, 5, Dw2Inval, Dw2Inval
r14b, Reg|Byte, RegRex|RegRex64, 6, Dw2Inval, Dw2Inval
r15b, Reg|Byte, RegRex|RegRex64, 7, Dw2Inval, Dw2Inval
// 16 bit regs
ax, Reg|Acc|Word, 0, 0, Dw2Inval, Dw2Inval
cx, Reg|Word, 0, 1, Dw2Inval, Dw2Inval
dx, Reg|Word|InOutPortReg, 0, 2, Dw2Inval, Dw2Inval
bx, Reg|Word|BaseIndex, 0, 3, Dw2Inval, Dw2Inval
sp, Reg|Word, 0, 4, Dw2Inval, Dw2Inval
bp, Reg|Word|BaseIndex, 0, 5, Dw2Inval, Dw2Inval
si, Reg|Word|BaseIndex, 0, 6, Dw2Inval, Dw2Inval
di, Reg|Word|BaseIndex, 0, 7, Dw2Inval, Dw2Inval
r8w, Reg|Word, RegRex, 0, Dw2Inval, Dw2Inval
r9w, Reg|Word, RegRex, 1, Dw2Inval, Dw2Inval
r10w, Reg|Word, RegRex, 2, Dw2Inval, Dw2Inval
r11w, Reg|Word, RegRex, 3, Dw2Inval, Dw2Inval
r12w, Reg|Word, RegRex, 4, Dw2Inval, Dw2Inval
r13w, Reg|Word, RegRex, 5, Dw2Inval, Dw2Inval
r14w, Reg|Word, RegRex, 6, Dw2Inval, Dw2Inval
r15w, Reg|Word, RegRex, 7, Dw2Inval, Dw2Inval
